ENSEMBL	SYMBOL
ENSMUSG00000045875	Adra1a
ENSMUSG00000025317	Car5a
ENSMUSG00000052305	Hbb-b1
ENSMUSG00000028967	Errfi1
ENSMUSG00000028339	Col15a1
ENSMUSG00000068086	Cyp2d9
ENSMUSG00000001773	Folh1
ENSMUSG00000035540	Gc
ENSMUSG00000028214	Gem
ENSMUSG00000106320	NA
ENSMUSG00000029445	Hpd
ENSMUSG00000000359	Rem1
ENSMUSG00000078597	Cyp4a12b
ENSMUSG00000069267	H3c2
ENSMUSG00000021214	Akr1c18
ENSMUSG00000028073	Pear1
ENSMUSG00000075705	Msrb1
ENSMUSG00000064354	mt-Co2
ENSMUSG00000045328	Cenpe
ENSMUSG00000046699	Slitrk4
ENSMUSG00000043496	Tril
ENSMUSG00000051149	Adnp
ENSMUSG00000079262	Slco1a6
ENSMUSG00000086503	Xist
ENSMUSG00000085826	Gm15638
ENSMUSG00000028369	Svep1
ENSMUSG00000103711	Tstd1
ENSMUSG00000068742	Cry2
ENSMUSG00000063681	Crb1
ENSMUSG00000028553	Angptl3
ENSMUSG00000026156	B3gat2
ENSMUSG00000010651	Acaa1b
ENSMUSG00000099241	Gvin-ps2
ENSMUSG00000041624	Gucy1a2
ENSMUSG00000048997	Atxn7l2
ENSMUSG00000063415	Cyp26b1
ENSMUSG00000038264	Sema7a
ENSMUSG00000043681	Fam25a
ENSMUSG00000015944	Castor2
ENSMUSG00000074578	Zfas1
ENSMUSG00000108884	NA
ENSMUSG00000048583	Igf2
ENSMUSG00000110386	NA
ENSMUSG00000024620	Pdgfrb
ENSMUSG00000048636	A730049H05Rik
ENSMUSG00000030337	Vamp1
ENSMUSG00000057103	Nat8f1
ENSMUSG00000020620	Abca8b
ENSMUSG00000038641	Akr1d1
ENSMUSG00000077167	Gm24119
ENSMUSG00000027848	Olfml3
ENSMUSG00000044748	Defb1
ENSMUSG00000041920	Slc16a6
ENSMUSG00000022613	Miox
ENSMUSG00000029082	Bst1
ENSMUSG00000022887	Masp1
ENSMUSG00000030004	Nat8
ENSMUSG00000024485	Slc4a9
ENSMUSG00000006542	Prkag3
ENSMUSG00000028068	Iqgap3
ENSMUSG00000020823	Sec14l1
ENSMUSG00000026622	Nek2
ENSMUSG00000120983	NA
ENSMUSG00000034739	Mfrp
ENSMUSG00000002250	Ppard
ENSMUSG00000029673	Auts2
ENSMUSG00000005611	Irag1
ENSMUSG00000024222	Fkbp5
ENSMUSG00000027870	Hao2
ENSMUSG00000102594	NA
ENSMUSG00000041828	Abca8a
ENSMUSG00000055430	Nap1l5
ENSMUSG00000003477	Inmt
ENSMUSG00000017969	Ptgis
ENSMUSG00000053303	Slc22a26
ENSMUSG00000096768	NA
ENSMUSG00000091694	Apol11b
ENSMUSG00000070304	Scn2b
ENSMUSG00000038550	Ciart
ENSMUSG00000020241	Col6a2
ENSMUSG00000032085	Tagln
ENSMUSG00000049303	Syt12
ENSMUSG00000021228	Acot3
ENSMUSG00000026814	Eng
ENSMUSG00000036892	Prodh2
ENSMUSG00000108825	NA
ENSMUSG00000085334	NA
ENSMUSG00000020904	Cfap52
ENSMUSG00000105970	NA
ENSMUSG00000056487	Tmt1a2
ENSMUSG00000003526	Prodh
ENSMUSG00000074577	Ripor3
ENSMUSG00000029231	Pdgfra
ENSMUSG00000095079	Igha
ENSMUSG00000019899	Lama2
ENSMUSG00000048154	Kmt2d
ENSMUSG00000026435	Slc45a3
ENSMUSG00000054385	Ceacam2
ENSMUSG00000121404	NA
ENSMUSG00000027339	Rassf2
ENSMUSG00000013611	Snx31
ENSMUSG00000114943	Gm8947
ENSMUSG00000020865	Abcc3
ENSMUSG00000098087	Gm17750
ENSMUSG00000028262	Clca3a2
ENSMUSG00000038415	Foxq1
ENSMUSG00000028989	Angptl7
ENSMUSG00000001095	Slc13a2
ENSMUSG00000042102	Dmgdh
ENSMUSG00000027074	Slc43a3
ENSMUSG00000078920	Ifi47
ENSMUSG00000093535	NA
ENSMUSG00000025197	Cyp2c23
ENSMUSG00000053862	Slc51b
ENSMUSG00000028712	Cyp4a31
ENSMUSG00000037892	Pcdh18
ENSMUSG00000002265	Peg3
ENSMUSG00000023886	Smoc2
ENSMUSG00000061825	Ces2c
ENSMUSG00000023067	Cdkn1a
ENSMUSG00000002797	Ggct
ENSMUSG00000021508	Cxcl14
ENSMUSG00000031294	NA
ENSMUSG00000104339	NA
ENSMUSG00000070469	Adamtsl3
ENSMUSG00000029661	Col1a2
ENSMUSG00000041237	Pklr
ENSMUSG00000065947	mt-Nd4l
ENSMUSG00000031016	Wee1
ENSMUSG00000032060	Cryab
ENSMUSG00000028862	Map3k6
ENSMUSG00000001119	Col6a1
ENSMUSG00000062248	Cks2
ENSMUSG00000005413	Hmox1
ENSMUSG00000026417	Pigr
ENSMUSG00000090369	4933411K16Rik
ENSMUSG00000020609	Apob
ENSMUSG00000080316	Spaca6
ENSMUSG00000022033	Pbk
ENSMUSG00000092470	NA
ENSMUSG00000027875	Hmgcs2
ENSMUSG00000031775	Pllp
ENSMUSG00000054999	Naaladl1
ENSMUSG00000040896	Kcnd3
ENSMUSG00000029273	Sult1d1
ENSMUSG00000121494	9030619P08Rik
ENSMUSG00000003779	Kif20a
ENSMUSG00000037010	Apln
ENSMUSG00000037953	A4gnt
ENSMUSG00000025082	Vwa2
ENSMUSG00000106386	NA
ENSMUSG00000020038	Cry1
ENSMUSG00000115232	NA
ENSMUSG00000035031	C8a
ENSMUSG00000118866	Rn7s1
ENSMUSG00000024313	Mep1b
ENSMUSG00000006576	Slc4a3
ENSMUSG00000111394	NA
ENSMUSG00000031886	Ces2e
ENSMUSG00000038453	Srcin1
ENSMUSG00000099927	Gm8226
ENSMUSG00000002289	Angptl4
ENSMUSG00000037440	Vnn1
ENSMUSG00000028927	Padi2
ENSMUSG00000045871	Slitrk6
ENSMUSG00000079494	Nat8f5
ENSMUSG00000060317	Acnat2
ENSMUSG00000026768	Itga8
ENSMUSG00000024650	Slc22a6
ENSMUSG00000078896	Zfp965
ENSMUSG00000030256	Bhlhe41
ENSMUSG00000031844	Hsd17b2
ENSMUSG00000042784	Muc1
ENSMUSG00000020695	Mrc2
ENSMUSG00000059824	Dbp
ENSMUSG00000047844	Bex4
ENSMUSG00000110894	NA
ENSMUSG00000044349	Snhg11
ENSMUSG00000072664	Ugt3a2
ENSMUSG00000037411	Serpine1
ENSMUSG00000105985	NA
ENSMUSG00000109314	NA
ENSMUSG00000028444	Cntfr
ENSMUSG00000026602	Nphs2
ENSMUSG00000028571	Cyp2j13
ENSMUSG00000033634	Nat8f2
ENSMUSG00000024411	Aqp4
ENSMUSG00000085894	NA
ENSMUSG00000039058	Ak5
ENSMUSG00000015568	Lpl
ENSMUSG00000104369	NA
ENSMUSG00000064841	Gm26205
ENSMUSG00000030717	Nupr1
ENSMUSG00000062785	Kcnc3
ENSMUSG00000031849	Comp
ENSMUSG00000074028	Slc22a13
ENSMUSG00000027820	Mme
ENSMUSG00000034785	Dio1
ENSMUSG00000026605	Cenpf
ENSMUSG00000097421	NA
ENSMUSG00000118790	Gm25939
ENSMUSG00000047822	Angptl8
ENSMUSG00000109005	NA
ENSMUSG00000059336	Slc14a1
ENSMUSG00000053580	Tanc2
ENSMUSG00000026864	Hspa5
ENSMUSG00000031461	Myom2
ENSMUSG00000021495	Fam193b
ENSMUSG00000058248	Kcnh1
ENSMUSG00000025185	Loxl4
ENSMUSG00000051331	Cacna1c
ENSMUSG00000062488	Ifit3b
ENSMUSG00000075025	Gm10804
ENSMUSG00000004988	Fxyd4
ENSMUSG00000104030	NA
ENSMUSG00000037254	Itih2
ENSMUSG00000029193	Cckar
ENSMUSG00000020889	Nr1d1
ENSMUSG00000105703	Gm43305
ENSMUSG00000041577	Prelp
ENSMUSG00000040715	NA
ENSMUSG00000034450	Gulo
ENSMUSG00000048096	Lmod1
ENSMUSG00000114206	Gm30551
ENSMUSG00000022304	Dpys
ENSMUSG00000028957	Per3
ENSMUSG00000032193	Ldlr
ENSMUSG00000053877	Srcap
ENSMUSG00000079105	C7
ENSMUSG00000005373	Mlxipl
ENSMUSG00000040249	Lrp1
ENSMUSG00000110558	NA
ENSMUSG00000023915	Tnfrsf21
ENSMUSG00000022425	Enpp2
ENSMUSG00000115190	NA
ENSMUSG00000093789	Methig1
ENSMUSG00000058571	Gpc6
ENSMUSG00000030218	Mgp
ENSMUSG00000021451	Sema4d
ENSMUSG00000031283	Chrdl1
ENSMUSG00000061808	Ttr
ENSMUSG00000031994	Adamts8
ENSMUSG00000109429	NA
ENSMUSG00000009013	Dynll1
ENSMUSG00000039542	Ncam1
ENSMUSG00000090486	NA
ENSMUSG00000061353	Cxcl12
ENSMUSG00000024640	Psat1
ENSMUSG00000045193	Cirbp
ENSMUSG00000030972	Acsm5
ENSMUSG00000119776	Gm23849
ENSMUSG00000029830	Svopl
ENSMUSG00000027326	Knl1
ENSMUSG00000014778	Fhod1
ENSMUSG00000074896	Ifit3
ENSMUSG00000045672	Col27a1
ENSMUSG00000103593	NA
ENSMUSG00000019874	Fabp7
ENSMUSG00000033618	Map3k13
ENSMUSG00000067144	Slc22a7
ENSMUSG00000023272	Creld2
ENSMUSG00000101599	NA
ENSMUSG00000058258	Idi1
ENSMUSG00000068196	Col8a1
ENSMUSG00000092341	Malat1
ENSMUSG00000002346	Slc25a42
ENSMUSG00000049539	H1f1
ENSMUSG00000068263	Efcc1
ENSMUSG00000054052	Rdh19
ENSMUSG00000059049	Frem1
ENSMUSG00000033952	Aspm
ENSMUSG00000022389	Tef
ENSMUSG00000028937	Acot7
ENSMUSG00000076617	Ighm
ENSMUSG00000069008	NA
ENSMUSG00000100210	H3c7
ENSMUSG00000079018	Ly6c1
ENSMUSG00000030737	Slco2b1
ENSMUSG00000079042	Apela
ENSMUSG00000097305	NA
ENSMUSG00000025498	Irf7
ENSMUSG00000019767	Ccdc170
ENSMUSG00000079017	Ifi27l2a
ENSMUSG00000022383	Ppara
ENSMUSG00000042834	Nrep
ENSMUSG00000038146	Notch3
ENSMUSG00000048572	Tmem252
ENSMUSG00000074063	Osgin1
ENSMUSG00000037686	Aspg
ENSMUSG00000048373	Fgfbp1
ENSMUSG00000026579	F5
ENSMUSG00000027715	Ccna2
ENSMUSG00000039438	Ttc36
ENSMUSG00000016942	Tmprss6
ENSMUSG00000037071	Scd1
ENSMUSG00000055116	Bmal1
ENSMUSG00000027962	Vcam1
ENSMUSG00000038624	Nepn
ENSMUSG00000100992	NA
ENSMUSG00000120543	NA
ENSMUSG00000095616	Gm26244
ENSMUSG00000043461	Sptssb
ENSMUSG00000031604	Msmo1
ENSMUSG00000112637	NA
ENSMUSG00000116993	NA
ENSMUSG00000031167	Rbm3
ENSMUSG00000102602	NA
ENSMUSG00000032532	Cck
ENSMUSG00000020914	Top2a
ENSMUSG00000030711	Sult1a1
ENSMUSG00000028327	Stra6l
ENSMUSG00000022595	Lypd2
ENSMUSG00000024501	Dpysl3
ENSMUSG00000024552	Slc14a2
ENSMUSG00000030854	Ptpn5
ENSMUSG00000016200	Syt14
ENSMUSG00000041895	Wipi1
ENSMUSG00000030987	Stim1
ENSMUSG00000031725	Ces1f
ENSMUSG00000059401	Mamld1
ENSMUSG00000029163	Emilin1
ENSMUSG00000036752	Tubb4b
ENSMUSG00000035783	Acta2
ENSMUSG00000118669	Arvcf
ENSMUSG00000118837	Rnu2-10
ENSMUSG00000030249	Abcc9
ENSMUSG00000021390	Ogn
ENSMUSG00000032010	Usp2
ENSMUSG00000069274	H4c6
ENSMUSG00000047583	Tyw3
ENSMUSG00000067149	Jchain
ENSMUSG00000031710	Ucp1
ENSMUSG00000105434	NA
ENSMUSG00000019232	Etnppl
ENSMUSG00000050074	Spink8
ENSMUSG00000066113	Adamtsl1
ENSMUSG00000064367	mt-Nd5
ENSMUSG00000072949	Acot1
ENSMUSG00000109628	BC024386
ENSMUSG00000031762	Mt2
ENSMUSG00000118718	Gm24950
ENSMUSG00000092746	NA
ENSMUSG00000119262	Snord3b1
ENSMUSG00000033763	Mtss2
ENSMUSG00000087881	Gm22442
ENSMUSG00000038738	Shank1
ENSMUSG00000092595	NA
ENSMUSG00000027487	Cdk5rap1
ENSMUSG00000061104	Sap18b
ENSMUSG00000027078	Ube2l6
ENSMUSG00000095123	NA
ENSMUSG00000085087	NA
ENSMUSG00000036777	Anln
ENSMUSG00000069273	H3c6
ENSMUSG00000030283	St8sia1
ENSMUSG00000068744	Psrc1
ENSMUSG00000019326	Aoc3
ENSMUSG00000056608	Chd9
ENSMUSG00000039364	Sectm1b
ENSMUSG00000102856	NA
ENSMUSG00000020108	Ddit4
ENSMUSG00000065226	Gm25791
ENSMUSG00000101609	Kcnq1ot1
ENSMUSG00000037625	Cldn11
ENSMUSG00000034771	Tle2
ENSMUSG00000021384	Susd3
ENSMUSG00000035638	Muc20
ENSMUSG00000022598	Psca
ENSMUSG00000044338	Aplnr
ENSMUSG00000022018	Rgcc
ENSMUSG00000028909	Ptpru
ENSMUSG00000069516	Lyz2
ENSMUSG00000026315	Serpinb8
ENSMUSG00000074170	Plekhf1
ENSMUSG00000005125	Ndrg1
ENSMUSG00000024503	Spink1
ENSMUSG00000064357	mt-Atp6
ENSMUSG00000119892	Gm23971
ENSMUSG00000074024	NA
ENSMUSG00000033715	Akr1c14
ENSMUSG00000034457	Eda2r
ENSMUSG00000119648	Snord3b3
ENSMUSG00000090264	Eif4ebp3
ENSMUSG00000010064	Slc38a3
ENSMUSG00000069763	Tmem100
ENSMUSG00000102349	NA
ENSMUSG00000034855	Cxcl10
ENSMUSG00000075031	H2bc3
ENSMUSG00000119838	Gm23444
ENSMUSG00000010307	Tmem86a
ENSMUSG00000079495	Nat8f6
ENSMUSG00000066687	Zbtb16
ENSMUSG00000031748	Gnao1
ENSMUSG00000028713	Cyp4b1
ENSMUSG00000109814	NA
ENSMUSG00000029482	Aacs
ENSMUSG00000024827	Gldc
ENSMUSG00000023262	Acy1
ENSMUSG00000065778	Gm22154
ENSMUSG00000029188	Slc34a2
ENSMUSG00000047246	H2bc6
ENSMUSG00000119761	Snord3b2
ENSMUSG00000031861	Lpar2
ENSMUSG00000033831	Fgb
ENSMUSG00000078921	Tgtp2
ENSMUSG00000063556	Gm10132
ENSMUSG00002075625	NA
ENSMUSG00000027186	Elf5
ENSMUSG00000074254	Cyp2a4
ENSMUSG00000006574	Slc4a1
ENSMUSG00000114860	A330033J07Rik
ENSMUSG00000104693	NA
ENSMUSG00000094932	Gm2007
ENSMUSG00000039001	Rps21
ENSMUSG00000041523	Upk2
ENSMUSG00000036446	Lum
ENSMUSG00000028003	Lrat
ENSMUSG00000116097	Gm36738
ENSMUSG00000064380	Gm26448
ENSMUSG00000020651	Slc26a4
ENSMUSG00000108494	NA
ENSMUSG00000119320	Snora70
ENSMUSG00000024818	Slc25a45
ENSMUSG00002074955	Snord3b4
ENSMUSG00000041797	Abca9
ENSMUSG00000089712	Gm15889
ENSMUSG00000024757	Slc22a19
ENSMUSG00000111692	NA
ENSMUSG00000051669	AU021092
ENSMUSG00000040260	Daam2
ENSMUSG00000042116	Vwa1
ENSMUSG00000116988	NA
ENSMUSG00000088835	Gm23547
ENSMUSG00000120777	NA
ENSMUSG00000064563	Snora7a
ENSMUSG00000039648	Kyat1
ENSMUSG00000070661	Rnf186
ENSMUSG00000071637	Cebpd
ENSMUSG00000047507	Baiap3
ENSMUSG00000040978	Gm11992
ENSMUSG00000027246	Ell3
ENSMUSG00000020429	Igfbp1
ENSMUSG00000087819	Gm25117
ENSMUSG00000031465	Angpt2
ENSMUSG00000021822	Plau
ENSMUSG00000121784	Gm10275
ENSMUSG00000050359	Sprr1a
ENSMUSG00000006235	Epor
ENSMUSG00000044471	Lncpint
ENSMUSG00000006724	Cyp27b1
ENSMUSG00000020330	Hmmr
ENSMUSG00000028776	Tinagl1
ENSMUSG00000039395	Mreg
ENSMUSG00000034892	Rps29
ENSMUSG00000048126	Col6a3
ENSMUSG00000104713	Gbp6
ENSMUSG00000040562	Gstm2
ENSMUSG00000031980	Agt
ENSMUSG00000002997	Prkar2b
ENSMUSG00000028150	Rorc
ENSMUSG00000085396	Firre
ENSMUSG00000032226	Gcnt3
ENSMUSG00000054072	Iigp1
ENSMUSG00000023905	Tnfrsf12a
ENSMUSG00000032786	Alas1
ENSMUSG00000007892	Rplp1
ENSMUSG00000092274	Neat1
ENSMUSG00000046318	Ccbe1
ENSMUSG00000033327	Tnxb
ENSMUSG00000023013	Aqp2
ENSMUSG00000020788	Atp2a3
ENSMUSG00000032115	Hyou1
ENSMUSG00000037552	Plekhg2
ENSMUSG00000065353	Snora73b
ENSMUSG00000065016	Snora3
ENSMUSG00000112324	NA
ENSMUSG00000020649	Rrm2
ENSMUSG00000080440	Gm25848
ENSMUSG00000006342	Susd2
ENSMUSG00000027831	Veph1
ENSMUSG00000050069	Grem2
ENSMUSG00000017002	Slpi
ENSMUSG00000065232	Gm22973
ENSMUSG00000026822	Lcn2
ENSMUSG00000015656	Hspa8
ENSMUSG00000042425	Frmpd3
ENSMUSG00000001473	Tubb6
ENSMUSG00000049511	Htr1b
ENSMUSG00000058740	Kcnt1
ENSMUSG00000035545	Leng8
ENSMUSG00000061527	Krt5
ENSMUSG00000047586	Nccrp1
ENSMUSG00000116358	NA
ENSMUSG00000117294	NA
ENSMUSG00000071177	Serpina1d
ENSMUSG00000034522	Zfp395
ENSMUSG00000077323	NA
ENSMUSG00000078974	Sec61g
ENSMUSG00000078898	Zfp968
ENSMUSG00000060143	NA
ENSMUSG00000048078	Tenm4
ENSMUSG00000033705	Stard9
ENSMUSG00000030228	Pik3c2g
ENSMUSG00000017688	Hnf4g
ENSMUSG00000089281	Scarna6
ENSMUSG00000021702	Thbs4
ENSMUSG00000022435	Upk3a
ENSMUSG00000093413	Snora15
ENSMUSG00000039109	F13a1
ENSMUSG00000026077	Npas2
ENSMUSG00000036564	Ndrg4
ENSMUSG00000020181	Nav3
ENSMUSG00000121042	Gm33887
ENSMUSG00000022878	Adipoq
ENSMUSG00000064655	Gm25788
ENSMUSG00000065087	Snord22
ENSMUSG00000057092	Fxyd3
ENSMUSG00000119851	NA
ENSMUSG00000032198	Dock6
ENSMUSG00000090165	Ugt1a10
ENSMUSG00000004328	Hif3a
ENSMUSG00000114279	H2bc14
ENSMUSG00000007872	Id3
ENSMUSG00000027245	Hypk
ENSMUSG00000087935	Snora81
ENSMUSG00000103313	NA
ENSMUSG00000059901	Adamts14
ENSMUSG00000026473	Glul
ENSMUSG00000025150	Cbr2
ENSMUSG00000046999	1110032F04Rik
ENSMUSG00000024561	Mbd1
ENSMUSG00000043144	Aqp6
ENSMUSG00000027840	Wnt2b
ENSMUSG00000073640	Rpl27-ps3
ENSMUSG00000102145	NA
ENSMUSG00000004951	Hspb1
ENSMUSG00000044249	Defb29
ENSMUSG00000058833	Rex1bd
ENSMUSG00000021125	Arg2
ENSMUSG00000086841	2410006H16Rik
ENSMUSG00000064382	Gm26447
ENSMUSG00000021614	Vcan
ENSMUSG00000073988	Ttpa
ENSMUSG00000065208	Gm24616
ENSMUSG00000085683	Tmem238l
ENSMUSG00000028001	Fga
ENSMUSG00000087963	Gm25394
ENSMUSG00000081604	LOC108167922
ENSMUSG00000038156	Spon1
ENSMUSG00000024186	Rgs11
ENSMUSG00000092805	NA
ENSMUSG00000036437	Npy1r
ENSMUSG00002076896	NA
ENSMUSG00000077611	Gm23946
ENSMUSG00000032515	Csrnp1
ENSMUSG00000103089	NA
ENSMUSG00000068240	Uba52rt
ENSMUSG00000120875	NA
ENSMUSG00000055866	Per2
ENSMUSG00000028680	Plk3
ENSMUSG00002075931	NA
ENSMUSG00000064994	Gm22422
ENSMUSG00000028031	Dkk2
ENSMUSG00000065725	Gm26165
ENSMUSG00000064427	Gm22748
ENSMUSG00000108599	NA
ENSMUSG00000020604	Arsg
ENSMUSG00000025650	Col7a1
ENSMUSG00000119873	Gm24497
ENSMUSG00000065637	Gm26397
ENSMUSG00000071178	Serpina1b
ENSMUSG00000064901	Snora21
ENSMUSG00000056293	Gsdmc2
ENSMUSG00000067847	Romo1
ENSMUSG00000030087	Klf15
ENSMUSG00002075453	NA
ENSMUSG00000064604	Snora44
ENSMUSG00000038393	Txnip
ENSMUSG00000022382	Wnt7b
ENSMUSG00000087365	NA
ENSMUSG00000113902	Ndufb1
ENSMUSG00000019464	Ptger1
ENSMUSG00000119895	Gm22513
ENSMUSG00000029321	Slc10a6
ENSMUSG00000037725	Ckap2
ENSMUSG00000095545	Zfp969
ENSMUSG00000079641	Rpl39
ENSMUSG00000048120	Entpd1
ENSMUSG00000028976	Slc2a5
ENSMUSG00000005615	Pcyt1a
ENSMUSG00000055254	Ntrk2
ENSMUSG00000119520	Gm24265
ENSMUSG00000021250	Fos
ENSMUSG00000024526	Cidea
ENSMUSG00000021775	Nr1d2
ENSMUSG00000079056	Kcnip3
ENSMUSG00000024990	Rbp4
ENSMUSG00000061959	Ces1e
ENSMUSG00000095300	Spata31e3
ENSMUSG00000070167	Snora57
ENSMUSG00000110040	NA
ENSMUSG00000045294	Insig1
ENSMUSG00000024644	Cndp2
ENSMUSG00000121785	Ubb-ps
ENSMUSG00000027070	Lrp2
ENSMUSG00000064451	Snora23
ENSMUSG00000025203	Scd2
ENSMUSG00002075983	NA
ENSMUSG00000016252	Atp5f1e
ENSMUSG00000033860	Fgg
ENSMUSG00000019997	Ccn2
ENSMUSG00000015850	Adamtsl4
ENSMUSG00000088948	Gm23262
ENSMUSG00000077505	Gm24233
ENSMUSG00000028715	Cyp4a14
ENSMUSG00000038567	Cyp24a1
ENSMUSG00000034456	Uroc1
ENSMUSG00000037754	Ppp1r16b
ENSMUSG00000015134	Aldh1a3
ENSMUSG00000078894	2210418O10Rik
ENSMUSG00000121655	Gm10177
ENSMUSG00000022512	Cldn1
ENSMUSG00000084174	Sycn
ENSMUSG00000023046	Igfbp6
ENSMUSG00000061780	Cfd
ENSMUSG00000038775	Vill
ENSMUSG00000019970	Sgk1
ENSMUSG00000026185	Igfbp5
ENSMUSG00000062727	H2bc12
ENSMUSG00000116207	Nnt
ENSMUSG00000119132	Gm24407
ENSMUSG00000064345	mt-Nd2
ENSMUSG00000120913	NA
ENSMUSG00000005716	Pvalb
ENSMUSG00000089617	NA
ENSMUSG00000015468	Notch4
ENSMUSG00000029368	Alb
ENSMUSG00000020255	Nopchap1
ENSMUSG00000077222	Gm22270
ENSMUSG00000030739	Myh14
ENSMUSG00000037016	Frem2
ENSMUSG00000011305	Plin5
ENSMUSG00000108655	NA
ENSMUSG00000001270	Ckb
ENSMUSG00000120167	NA
ENSMUSG00000059810	Rgs3
ENSMUSG00000031770	Herpud1
ENSMUSG00000035202	Lars2
ENSMUSG00000034853	Acot11
ENSMUSG00000030268	Bcat1
ENSMUSG00000044645	NA
ENSMUSG00000071633	Gm4952
ENSMUSG00000048489	Depp1
ENSMUSG00000072893	4933439C10Rik
ENSMUSG00000066632	NA
ENSMUSG00000065118	Gm23297
ENSMUSG00000121034	NA
ENSMUSG00000057722	Lepr
ENSMUSG00000120425	Ndufb4b
ENSMUSG00000026188	Tmem169
ENSMUSG00000099519	NA
ENSMUSG00000032420	Nt5e
ENSMUSG00000023505	Cdca3
ENSMUSG00000036062	Phf24
ENSMUSG00000069265	H3c1
ENSMUSG00000020681	Ace
ENSMUSG00000004105	Angptl2
ENSMUSG00000043099	Hic1
ENSMUSG00000064966	Snord15b
ENSMUSG00000098306	NA
ENSMUSG00000029700	Slc13a1
ENSMUSG00000029516	Cit
ENSMUSG00000037548	H2-DMb2
ENSMUSG00000038526	Car14
ENSMUSG00000022583	Ly6f
ENSMUSG00000064387	Snora73a
ENSMUSG00002076650	NA
ENSMUSG00000012443	Kif11
ENSMUSG00000026712	Mrc1
ENSMUSG00000032080	Apoa4
ENSMUSG00000027111	Itga6
ENSMUSG00000008683	Rps15a
ENSMUSG00000064363	mt-Nd4
ENSMUSG00000038894	Irs2
ENSMUSG00000054986	Sec14l3
ENSMUSG00000046275	Trarg1
ENSMUSG00000023087	Noct
ENSMUSG00000018166	Erbb3
ENSMUSG00000120623	NA
ENSMUSG00000061175	Fnip2
ENSMUSG00000040405	Havcr1
ENSMUSG00000020142	Slc1a4
ENSMUSG00000077714	Snord17
